"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.997492917E0,-5.508993988E0,-2.994971924E0,2.328108673E0,6.688718979E0
2.007436917E0,-1.526899796E1,2.630330200E0,1.828447723E0,1.560141521E1
2.017380917E0,-2.217518646E1,1.034693344E1,5.528004456E-1,2.447659116E1
2.027324917E0,-2.588357483E1,1.832743790E1,-5.480104065E-1,3.171994233E1
2.037268917E0,-2.836376724E1,2.420751022E1,-2.840942230E0,3.739756404E1
2.047212917E0,-2.818414078E1,2.777683777E1,-6.120622101E0,4.004198450E1
2.057156917E0,-2.569601486E1,2.909125443E1,-8.151748352E0,3.966153382E1
2.067100917E0,-2.223745697E1,2.883453827E1,-8.295299835E0,3.734631292E1
2.077043917E0,-1.924263474E1,2.720667343E1,-7.326215057E0,3.411972300E1
2.086987917E0,-1.654614212E1,2.449296661E1,-5.304070129E0,3.003020800E1
2.096931917E0,-1.365535355E1,2.089340195E1,-3.119363251E0,2.515419155E1
2.106875917E0,-1.055604858E1,1.667397629E1,-1.065484314E0,1.976327159E1
2.116819917E0,-7.587421875E0,1.227252914E1,6.132746887E-1,1.444160823E1
2.126763917E0,-5.247188416E0,7.953410797E0,1.632954254E0,9.667278271E0
2.136707917E0,-2.844385071E0,3.330274658E0,2.236648865E0,4.917708193E0
2.146651917E0,-1.824705505E-1,-2.158960419E0,3.303630066E0,3.950743880E0
2.156595917E0,2.962190094E0,-7.821085968E0,5.258714447E0,9.879171701E0
2.166539917E0,6.785838776E0,-1.238674164E1,8.334967346E0,1.639971515E1
2.176483917E0,1.256247620E1,-1.440005493E1,1.284898041E1,2.302767222E1
2.186427917E0,1.942495560E1,-1.423659485E1,1.762270340E1,2.984240620E1
2.196371917E0,2.444761093E1,-1.307920166E1,2.034030212E1,3.438719365E1
2.206314917E0,2.607412857E1,-1.148411865E1,1.983884491E1,3.471778981E1
2.216258917E0,2.364453094E1,-1.066906357E1,1.679282913E1,3.090132475E1
2.226202917E0,1.860226639E1,-9.882299652E0,1.258418106E1,2.453702863E1
2.236146917E0,1.360236374E1,-8.054450684E0,8.597072296E0,1.799466941E1
2.246090917E0,8.707542572E0,-5.881419525E0,5.129982147E0,1.169312234E1
2.256034917E0,9.867480469E-1,-4.139940948E0,2.267634430E0,4.822338507E0
2.265978917E0,-9.360484772E0,-1.166075134E-1,-7.623646545E-1,9.392202742E0
2.275922917E0,-1.872531052E1,7.242089996E0,-4.800068207E0,2.064281416E1
2.285866917E0,-2.434866669E1,1.550490738E1,-7.586224365E0,2.984644908E1
2.295810917E0,-2.510324753E1,2.150562881E1,-6.436315613E0,3.367627155E1
2.305754917E0,-2.297332672E1,2.467932907E1,-6.024821320E0,3.425115321E1
2.315698917E0,-1.942046494E1,2.564736603E1,-7.863148499E0,3.311753232E1
2.325642917E0,-1.686961945E1,2.520847870E1,-8.192912750E0,3.141934560E1
2.335586917E0,-1.539413773E1,2.438863358E1,-8.091872864E0,2.995435411E1
2.345529917E0,-1.434541855E1,2.259446457E1,-7.665559387E0,2.783992930E1
2.355473917E0,-1.253283783E1,1.964499802E1,-6.472839661E0,2.418461545E1
2.365417917E0,-9.688303070E0,1.558903244E1,-5.060676270E0,1.903921199E1
2.375361917E0,-6.414610748E0,1.014575180E1,-3.141367493E0,1.240772745E1
